red,blue,score 
"['[U:1:129808893]', '[U:1:342061447]', '[U:1:1278657853]', '[U:1:173573767]', '[U:1:428241817]', '[U:1:156440371]']","['[U:1:1052789333]', '[U:1:409701962]', '[U:1:155227384]', '[U:1:170311598]', '[U:1:350058571]', '[U:1:73086130]']","[1, 4]"
"['[U:1:342061447]', '[U:1:908952969]', '[U:1:173573767]', '[U:1:1278657853]', '[U:1:428241817]', '[U:1:485271219]']","['[U:1:909812136]', '[U:1:102346090]', '[U:1:129808893]', '[U:1:87676631]', '[U:1:170311598]', '[U:1:155227384]']","[3, 4]"
"['[U:1:219622414]', '[U:1:342061447]', '[U:1:260352292]', '[U:1:908952969]', '[U:1:919085644]', '[U:1:102346090]']","['[U:1:155227384]', '[U:1:173573767]', '[U:1:170311598]', '[U:1:909812136]', '[U:1:428241817]', '[U:1:73086130]']","[1, 4]"
"['[U:1:1290056453]', '[U:1:342061447]', '[U:1:173573767]', '[U:1:73086130]', '[U:1:485271219]', '[U:1:908952969]']","['[U:1:87676631]', '[U:1:102346090]', '[U:1:919085644]', '[U:1:155227384]', '[U:1:155136833]', '[U:1:1323640]']","[1, 4]"
"['[U:1:909812136]', '[U:1:1069849161]', '[U:1:1229126044]', '[U:1:314449381]', '[U:1:438002921]', '[U:1:368644786]', '[U:1:229064914]']","['[U:1:162401190]', '[U:1:409615621]', '[U:1:1007792924]', '[U:1:453856590]', '[U:1:914486159]', '[U:1:246241288]']","[1, 5]"
"['[U:1:914486159]', '[U:1:200305421]', '[U:1:314449381]', '[U:1:1069849161]', '[U:1:185493316]', '[U:1:489591700]']","['[U:1:1323640]', '[U:1:387503533]', '[U:1:909812136]', '[U:1:246241288]', '[U:1:1229126044]', '[U:1:121079858]']","[2, 4]"
"['[U:1:135278262]', '[U:1:129395833]', '[U:1:209647313]', '[U:1:485271219]', '[U:1:342061447]', '[U:1:919085644]']","['[U:1:1052789333]', '[U:1:317981219]', '[U:1:44079783]', '[U:1:1050919710]', '[U:1:409701962]', '[U:1:420456705]']","[0, 5]"
"['[U:1:342061447]', '[U:1:209647313]', '[U:1:135278262]', '[U:1:919085644]', '[U:1:44079783]', '[U:1:1201269414]']","['[U:1:129395833]', '[U:1:275885026]', '[U:1:409701962]', '[U:1:420456705]', '[U:1:1052789333]', '[U:1:317981219]']","[2, 4]"
"['[U:1:914486159]', '[U:1:317981219]', '[U:1:275885026]', '[U:1:1323640]', '[U:1:428241817]', '[U:1:438002921]']","['[U:1:146679886]', '[U:1:87676631]', '[U:1:110923884]', '[U:1:341322768]', '[U:1:919085644]', '[U:1:233139493]']","[5, 2]"
"['[U:1:233139493]', '[U:1:38101899]', '[U:1:1323640]', '[U:1:919085644]', '[U:1:428241817]', '[U:1:164800184]']","['[U:1:275885026]', '[U:1:317981219]', '[U:1:229064914]', '[U:1:341322768]', '[U:1:154482075]', '[U:1:998239081]']","[3, 1]"
"['[U:1:98528050]', '[U:1:395380187]', '[U:1:164800184]', '[U:1:341322768]', '[U:1:1278657853]', '[U:1:110923884]']","['[U:1:1052789333]', '[U:1:130663236]', '[U:1:209647313]', '[U:1:998239081]', '[U:1:485271219]', '[U:1:52815207]']","[3, 1]"
"['[U:1:998239081]', '[U:1:1052789333]', '[U:1:98528050]', '[U:1:209647313]', '[U:1:52815207]', '[U:1:341322768]']","['[U:1:1278657853]', '[U:1:164800184]', '[U:1:395380187]', '[U:1:485271219]', '[U:1:102346090]', '[U:1:87676631]']","[0, 4]"
"['[U:1:998239081]', '[U:1:873952590]', '[U:1:164800184]', '[U:1:29086594]', '[U:1:485271219]', '[U:1:102346090]']","['[U:1:409701962]', '[U:1:87676631]', '[U:1:98528050]', '[U:1:908952969]', '[U:1:213858425]', '[U:1:341322768]']","[5, 3]"
"['[U:1:102346090]', '[U:1:98528050]', '[U:1:409701962]', '[U:1:998239081]', '[U:1:485271219]', '[U:1:52815207]']","['[U:1:361612154]', '[U:1:339850851]', '[U:1:87676631]', '[U:1:873952590]', '[U:1:908952969]', '[U:1:164800184]']","[0, 5]"
"['[U:1:204612085]', '[U:1:339850851]', '[U:1:428241817]', '[U:1:438002921]', '[U:1:128635382]', '[U:1:919085644]']","['[U:1:129808893]', '[U:1:908952969]', '[U:1:121705589]', '[U:1:260352292]', '[U:1:1278657853]', '[U:1:87676631]']","[3, 0]"
"['[U:1:219622414]', '[U:1:1007792924]', '[U:1:1052789333]', '[U:1:1278657853]', '[U:1:908952969]', '[U:1:438002921]']","['[U:1:204612085]', '[U:1:339850851]', '[U:1:156440371]', '[U:1:129808893]', '[U:1:341322768]', '[U:1:110923884]']","[0, 0]"
"['[U:1:428241817]', '[U:1:44079783]', '[U:1:121705589]', '[U:1:420456705]', '[U:1:914486159]', '[U:1:1280960540]']","['[U:1:209647313]', '[U:1:87676631]', '[U:1:164800184]', '[U:1:919085644]', '[U:1:1069849161]', '[U:1:868296991]']","[3, 0]"
"['[U:1:204612085]', '[U:1:129808893]', '[U:1:1258031600]', '[U:1:1007792924]', '[U:1:1323640]', '[U:1:1052789333]']","['[U:1:908952969]', '[U:1:438002921]', '[U:1:1278657853]', '[U:1:100621014]', '[U:1:409701962]', '[U:1:341322768]', '[U:1:489591700]']","[5, 0]"
"['[U:1:1258031600]', '[U:1:1280960540]', '[U:1:1323640]', '[U:1:868296991]', '[U:1:489591700]', '[U:1:1007792924]', '[U:1:438002921]', '[U:1:1193269293]']","['[U:1:204612085]', '[U:1:908952969]', '[U:1:453856590]', '[U:1:60959017]', '[U:1:485271219]']","[1, 3]"
"['[U:1:908952969]', '[U:1:342061447]', '[U:1:361612154]', '[U:1:402718118]', '[U:1:125098066]', '[U:1:52815207]']","['[U:1:146679886]', '[U:1:842830053]', '[U:1:80969486]', '[U:1:998239081]', '[U:1:94683089]', '[U:1:246241288]']","[1, 5]"
"['[U:1:908952969]', '[U:1:117579832]', '[U:1:260352292]', '[U:1:42954103]', '[U:1:73086130]', '[U:1:350058571]']","['[U:1:146679886]', '[U:1:402718118]', '[U:1:842830053]', '[U:1:428241817]', '[U:1:1258031600]', '[U:1:52815207]']","[1, 5]"
"['[U:1:842830053]', '[U:1:908952969]', '[U:1:246241288]', '[U:1:428241817]', '[U:1:52815207]', '[U:1:919085644]']","['[U:1:146679886]', '[U:1:402718118]', '[U:1:117579832]', '[U:1:350058571]', '[U:1:1258031600]', '[U:1:73086130]']","[3, 3]"
"['[U:1:842830053]', '[U:1:908952969]', '[U:1:246241288]', '[U:1:428241817]', '[U:1:52815207]', '[U:1:919085644]']","['[U:1:146679886]', '[U:1:402718118]', '[U:1:117579832]', '[U:1:350058571]', '[U:1:1258031600]', '[U:1:73086130]']","[3, 3]"
"['[U:1:1007792924]', '[U:1:52815207]', '[U:1:229064914]', '[U:1:171709099]', '[U:1:402718118]', '[U:1:1258031600]', '[U:1:117579832]']","['[U:1:103352915]', '[U:1:73086130]', '[U:1:84980776]', '[U:1:908952969]', '[U:1:146679886]', '[U:1:842830053]']","[0, 2]"
"['[U:1:275885026]', '[U:1:212481023]', '[U:1:100621014]', '[U:1:144408382]', '[U:1:1323640]', '[U:1:246241288]']","['[U:1:129395833]', '[U:1:909812136]', '[U:1:29086594]', '[U:1:80969486]', '[U:1:931141810]', '[U:1:1278657853]']","[5, 0]"
"['[U:1:121079858]', '[U:1:914486159]', '[U:1:908952969]', '[U:1:80969486]', '[U:1:1267322885]', '[U:1:117579832]']","['[U:1:87676631]', '[U:1:129395833]', '[U:1:1323640]', '[U:1:212481023]', '[U:1:1007792924]', '[U:1:998239081]']","[2, 3]"
"['[U:1:80969486]', '[U:1:126454115]', '[U:1:117579832]', '[U:1:908952969]', '[U:1:121705589]', '[U:1:121079858]']","['[U:1:909812136]', '[U:1:914486159]', '[U:1:29086594]', '[U:1:1007792924]', '[U:1:998239081]', '[U:1:339850851]', '[U:1:87676631]']","[1, 1]"
"['[U:1:339850851]', '[U:1:489591700]', '[U:1:121079858]', '[U:1:908952969]', '[U:1:909812136]', '[U:1:80969486]']","['[U:1:126454115]', '[U:1:102346090]', '[U:1:96968119]', '[U:1:128635382]', '[U:1:117579832]', '[U:1:914486159]', '[U:1:29086594]']","[3, 3]"
"['[U:1:102346090]', '[U:1:342061447]', '[U:1:87676631]', '[U:1:110923884]', '[U:1:170311598]', '[U:1:73086130]']","['[U:1:908952969]', '[U:1:117579832]', '[U:1:339850851]', '[U:1:246241288]', '[U:1:128635382]', '[U:1:29086594]']","[2, 3]"
"['[U:1:129395833]', '[U:1:168271836]', '[U:1:79240754]', '[U:1:1094264912]', '[U:1:96015935]', '[U:1:131797528]']","['[U:1:342061447]', '[U:1:361612154]', '[U:1:170311598]', '[U:1:908952969]', '[U:1:246241288]', '[U:1:110923884]']","[2, 2]"
"['[U:1:80969486]', '[U:1:131797528]', '[U:1:485271219]', '[U:1:998239081]', '[U:1:1087295217]', '[U:1:342061447]']","['[U:1:126454115]', '[U:1:909812136]', '[U:1:402718118]', '[U:1:1094264912]', '[U:1:110923884]', '[U:1:87676631]']","[2, 3]"
"['[U:1:80969486]', '[U:1:155227384]', '[U:1:998239081]', '[U:1:908952969]', '[U:1:1094264912]', '[U:1:208665602]']","['[U:1:1323640]', '[U:1:1278657853]', '[U:1:126454115]', '[U:1:96015935]', '[U:1:110923884]', '[U:1:485271219]']","[3, 5]"
"['[U:1:1323640]', '[U:1:155227384]', '[U:1:1278657853]', '[U:1:130663236]', '[U:1:300652882]', '[U:1:102346090]']","['[U:1:80969486]', '[U:1:96015935]', '[U:1:908952969]', '[U:1:208665602]', '[U:1:1241493147]', '[U:1:126454115]']","[0, 5]"
"['[U:1:1241493147]', '[U:1:1229126044]', '[U:1:1267322885]', '[U:1:1278657853]', '[U:1:1050919710]', '[U:1:485271219]']","['[U:1:209647313]', '[U:1:393852362]', '[U:1:438002921]', '[U:1:44079783]', '[U:1:162401190]', '[U:1:1280960540]']","[2, 4]"
"['[U:1:162401190]', '[U:1:171709099]', '[U:1:914486159]', '[U:1:209647313]', '[U:1:438002921]', '[U:1:44079783]']","['[U:1:260352292]', '[U:1:98528050]', '[U:1:1229126044]', '[U:1:1278657853]', '[U:1:1241493147]', '[U:1:103352915]']","[4, 0]"
"['[U:1:314449381]', '[U:1:1323640]', '[U:1:438117348]', '[U:1:103352915]', '[U:1:998239081]', '[U:1:485271219]']","['[U:1:98528050]', '[U:1:914486159]', '[U:1:100621014]', '[U:1:1278657853]', '[U:1:1267322885]', '[U:1:919085644]']","[1, 4]"
"['[U:1:909812136]', '[U:1:100621014]', '[U:1:438002921]', '[U:1:129808893]', '[U:1:183962091]', '[U:1:52815207]']","['[U:1:1193269293]', '[U:1:121079858]', '[U:1:102346090]', '[U:1:209647313]', '[U:1:919085644]', '[U:1:229064914]', '[U:1:275885026]']","[2, 3]"
"['[U:1:1241493147]', '[U:1:96015935]', '[U:1:155227384]', '[U:1:1007792924]', '[U:1:84980776]', '[U:1:260352292]', '[U:1:904306638]']","['[U:1:989144808]', '[U:1:29086594]', '[U:1:409701962]', '[U:1:102346090]', '[U:1:246241288]', '[U:1:52815207]']","[4, 0]"
"['[U:1:1007792924]', '[U:1:1323640]', '[U:1:1241493147]', '[U:1:209647313]', '[U:1:1258031600]', '[U:1:1267322885]']","['[U:1:132115351]', '[U:1:485271219]', '[U:1:314449381]', '[U:1:1278657853]', '[U:1:129395833]', '[U:1:409701962]']","[0, 3]"
"['[U:1:126226938]', '[U:1:107925106]', '[U:1:815464669]', '[U:1:300652882]', '[U:1:485271219]', '[U:1:52815207]']","['[U:1:119903769]', '[U:1:404440631]', '[U:1:155227384]', '[U:1:105013257]', '[U:1:100621014]', '[U:1:286434644]']","[2, 4]"
"['[U:1:286434644]', '[U:1:119903769]', '[U:1:107925106]', '[U:1:815464669]', '[U:1:100621014]', '[U:1:8466442]']","['[U:1:1258031600]', '[U:1:1120606091]', '[U:1:300652882]', '[U:1:135653670]', '[U:1:485271219]', '[U:1:110923884]']","[5, 1]"
"['[U:1:842830053]', '[U:1:171709099]', '[U:1:404440631]', '[U:1:998239081]', '[U:1:169764222]', '[U:1:52815207]', '[U:1:183962091]']","['[U:1:242575436]', '[U:1:108814174]', '[U:1:102346090]', '[U:1:1323640]', '[U:1:1278657853]', '[U:1:409701962]']","[0, 4]"
"['[U:1:842830053]', '[U:1:1323640]', '[U:1:1278657853]', '[U:1:117579832]', '[U:1:242575436]', '[U:1:169764222]']","['[U:1:102346090]', '[U:1:87676631]', '[U:1:409701962]', '[U:1:368644786]', '[U:1:52815207]', '[U:1:183962091]', '[U:1:121079858]']","[4, 1]"
"['[U:1:998239081]', '[U:1:183962091]', '[U:1:121079858]', '[U:1:102346090]', '[U:1:242575436]', '[U:1:1278657853]']","['[U:1:146679886]', '[U:1:87676631]', '[U:1:117579832]', '[U:1:409701962]', '[U:1:842830053]', '[U:1:84980776]']","[5, 0]"
"['[U:1:998239081]', '[U:1:842830053]', '[U:1:409701962]', '[U:1:242575436]', '[U:1:84980776]', '[U:1:52815207]']","['[U:1:146679886]', '[U:1:87676631]', '[U:1:117579832]', '[U:1:1278657853]', '[U:1:121079858]', '[U:1:102346090]']","[3, 1]"
"['[U:1:77996061]', '[U:1:998239081]', '[U:1:409701962]', '[U:1:1069849161]', '[U:1:84980776]', '[U:1:52815207]']","['[U:1:146679886]', '[U:1:402718118]', '[U:1:842830053]', '[U:1:242575436]', '[U:1:117579832]', '[U:1:904306638]', '[U:1:94683089]']","[2, 4]"
"['[U:1:402718118]', '[U:1:94683089]', '[U:1:117579832]', '[U:1:842830053]', '[U:1:242575436]', '[U:1:52815207]']","['[U:1:260352292]', '[U:1:426690057]', '[U:1:904306638]', '[U:1:77996061]', '[U:1:409701962]', '[U:1:1007792924]']","[3, 1]"
"['[U:1:409701962]', '[U:1:129395833]', '[U:1:914486159]', '[U:1:438002921]', '[U:1:170311598]', '[U:1:202531898]']","['[U:1:117579832]', '[U:1:1201269414]', '[U:1:410408066]', '[U:1:155136833]', '[U:1:96015935]', '[U:1:861750819]']","[3, 1]"
"['[U:1:155136833]', '[U:1:117579832]', '[U:1:96015935]', '[U:1:1201269414]', '[U:1:919085644]', '[U:1:410408066]']","['[U:1:170311598]', '[U:1:126454115]', '[U:1:202531898]', '[U:1:861750819]', '[U:1:188596904]', '[U:1:238550246]']","[5, 0]"
"['[U:1:394018863]', '[U:1:1227498284]', '[U:1:317981219]', '[U:1:1007792924]', '[U:1:489591700]', '[U:1:409701962]']","['[U:1:1229126044]', '[U:1:275885026]', '[U:1:110923884]', '[U:1:1278657853]', '[U:1:368644786]', '[U:1:155227384]']","[0, 3]"
"['[U:1:317981219]', '[U:1:110923884]', '[U:1:117579832]', '[U:1:489591700]', '[U:1:1227498284]', '[U:1:394018863]']","['[U:1:155227384]', '[U:1:275885026]', '[U:1:1007792924]', '[U:1:1278657853]', '[U:1:1229126044]', '[U:1:428241817]']","[0, 5]"
"['[U:1:317981219]', '[U:1:1229126044]', '[U:1:893485704]', '[U:1:489591700]', '[U:1:110923884]', '[U:1:52815207]']","['[U:1:117579832]', '[U:1:155227384]', '[U:1:393852362]', '[U:1:428241817]', '[U:1:931141810]', '[U:1:438002921]']","[4, 0]"
"['[U:1:110923884]', '[U:1:919085644]', '[U:1:428241817]', '[U:1:129395833]', '[U:1:489591700]', '[U:1:52815207]', '[U:1:904306638]']","['[U:1:317981219]', '[U:1:893485704]', '[U:1:1323640]', '[U:1:229064914]', '[U:1:117579832]', '[U:1:404440631]']","[2, 5]"
"['[U:1:121079858]', '[U:1:404440631]', '[U:1:368644786]', '[U:1:175287549]', '[U:1:238550246]', '[U:1:77996061]']","['[U:1:98528050]', '[U:1:79240754]', '[U:1:183962091]', '[U:1:268499760]', '[U:1:409701962]', '[U:1:246241288]']","[1, 5]"
"['[U:1:409701962]', '[U:1:268499760]', '[U:1:52815207]', '[U:1:249346279]', '[U:1:117579832]', '[U:1:1120606091]']","['[U:1:171709099]', '[U:1:1007792924]', '[U:1:98528050]', '[U:1:300652882]', '[U:1:155227384]', '[U:1:908952969]']","[0, 5]"
"['[U:1:260352292]', '[U:1:1007792924]', '[U:1:98528050]', '[U:1:117579832]', '[U:1:238550246]', '[U:1:1120606091]']","['[U:1:77996061]', '[U:1:268499760]', '[U:1:908952969]', '[U:1:52815207]', '[U:1:409701962]', '[U:1:155227384]']","[0, 2]"
"['[U:1:171709099]', '[U:1:238550246]', '[U:1:409701962]', '[U:1:1120606091]', '[U:1:268499760]', '[U:1:77996061]']","['[U:1:1007792924]', '[U:1:117579832]', '[U:1:998239081]', '[U:1:908952969]', '[U:1:155227384]', '[U:1:255357109]']","[5, 2]"
"['[U:1:117579832]', '[U:1:393852362]', '[U:1:861750819]', '[U:1:489591700]', '[U:1:132115351]', '[U:1:1278657853]']","['[U:1:155227384]', '[U:1:1052789333]', '[U:1:121079858]', '[U:1:409701962]', '[U:1:268499760]', '[U:1:1050919710]', '[U:1:129395833]']","[3, 2]"
"['[U:1:129395833]', '[U:1:914486159]', '[U:1:409701962]', '[U:1:183962091]', '[U:1:368644786]', '[U:1:246241288]']","['[U:1:268499760]', '[U:1:1323640]', '[U:1:861750819]', '[U:1:438002921]', '[U:1:1278657853]', '[U:1:904306638]']","[5, 2]"
"['[U:1:229398251]', '[U:1:1229126044]', '[U:1:485271219]', '[U:1:184444257]', '[U:1:208665602]', '[U:1:350058571]']","['[U:1:156440371]', '[U:1:155227384]', '[U:1:188596904]', '[U:1:908952969]', '[U:1:1050919710]', '[U:1:117579832]']","[0, 3]"
"['[U:1:409701962]', '[U:1:1323640]', '[U:1:914486159]', '[U:1:268499760]', '[U:1:341322768]', '[U:1:246241288]']","['[U:1:110923884]', '[U:1:861750819]', '[U:1:438002921]', '[U:1:96015935]', '[U:1:129395833]', '[U:1:919085644]']","[2, 0]"
"['[U:1:98528050]', '[U:1:130663236]', '[U:1:155227384]', '[U:1:1128930437]', '[U:1:1007792924]', '[U:1:1323640]']","['[U:1:100621014]', '[U:1:168271836]', '[U:1:1191242857]', '[U:1:52815207]', '[U:1:246241288]', '[U:1:339796637]']","[1, 2]"
"['[U:1:219622414]', '[U:1:1191242857]', '[U:1:130663236]', '[U:1:182383884]', '[U:1:167374185]', '[U:1:350058571]']","['[U:1:102346090]', '[U:1:229398251]', '[U:1:121079858]', '[U:1:213858425]', '[U:1:428241817]', '[U:1:1007792924]']","[5, 0]"
"['[U:1:286434644]', '[U:1:317981219]', '[U:1:1052789333]', '[U:1:44079783]', '[U:1:908952969]', '[U:1:209647313]']","['[U:1:187649286]', '[U:1:404440631]', '[U:1:1191242857]', '[U:1:98528050]', '[U:1:489591700]', '[U:1:361612154]']","[2, 4]"
"['[U:1:81079996]', '[U:1:182383884]', '[U:1:1258031600]', '[U:1:80969486]', '[U:1:1323640]', '[U:1:246241288]']","['[U:1:156501558]', '[U:1:44186221]', '[U:1:904306638]', '[U:1:77996061]', '[U:1:98528050]', '[U:1:52815207]']","[3, 2]"
"['[U:1:404440631]', '[U:1:44079783]', '[U:1:209647313]', '[U:1:1052789333]', '[U:1:133515365]', '[U:1:1191242857]']","['[U:1:361612154]', '[U:1:275885026]', '[U:1:125098066]', '[U:1:317981219]', '[U:1:908952969]', '[U:1:428241817]']","[1, 4]"
"['[U:1:1323640]', '[U:1:246241288]', '[U:1:1258031600]', '[U:1:130663236]', '[U:1:52815207]', '[U:1:172664732]']","['[U:1:98528050]', '[U:1:904306638]', '[U:1:182383884]', '[U:1:81079996]', '[U:1:77996061]', '[U:1:229398251]']","[5, 0]"
"['[U:1:1057637851]', '[U:1:155227384]', '[U:1:1191242857]', '[U:1:908952969]', '[U:1:914486159]', '[U:1:485271219]']","['[U:1:169764222]', '[U:1:873952590]', '[U:1:1323640]', '[U:1:98528050]', '[U:1:1201269414]', '[U:1:102346090]']","[4, 0]"
"['[U:1:998239081]', '[U:1:861750819]', '[U:1:1280960540]', '[U:1:125098066]', '[U:1:67062056]', '[U:1:1229126044]']","['[U:1:409701962]', '[U:1:1268599460]', '[U:1:1201269414]', '[U:1:162401190]', '[U:1:129808893]', '[U:1:84980776]', '[U:1:919085644]']","[1, 5]"
"['[U:1:102346090]', '[U:1:1128930437]', '[U:1:341322768]', '[U:1:158263311]', '[U:1:1050919710]', '[U:1:120307194]']","['[U:1:219622414]', '[U:1:1280960540]', '[U:1:117579832]', '[U:1:209647313]', '[U:1:861750819]', '[U:1:1025829705]']","[5, 1]"
"['[U:1:125098066]', '[U:1:409701962]', '[U:1:919085644]', '[U:1:132115351]', '[U:1:1268599460]', '[U:1:1201269414]']","['[U:1:1229126044]', '[U:1:84980776]', '[U:1:1278657853]', '[U:1:438002921]', '[U:1:489591700]', '[U:1:204612085]']","[4, 1]"
"['[U:1:341322768]', '[U:1:260352292]', '[U:1:1050919710]', '[U:1:861750819]', '[U:1:102346090]', '[U:1:158263311]']","['[U:1:1086921574]', '[U:1:209647313]', '[U:1:117579832]', '[U:1:1280960540]', '[U:1:120307194]', '[U:1:73086130]']","[3, 1]"
"['[U:1:102346090]', '[U:1:169764222]', '[U:1:229398251]', '[U:1:861750819]', '[U:1:209647313]', '[U:1:260352292]']","['[U:1:1052789333]', '[U:1:120307194]', '[U:1:117579832]', '[U:1:1086921574]', '[U:1:341322768]', '[U:1:158263311]']","[0, 5]"
"['[U:1:121079858]', '[U:1:998239081]', '[U:1:1007792924]', '[U:1:156440371]', '[U:1:80969486]', '[U:1:73086130]']","['[U:1:893485704]', '[U:1:60959017]', '[U:1:919085644]', '[U:1:1120606091]', '[U:1:842830053]', '[U:1:208665602]']","[2, 3]"
"['[U:1:156440371]', '[U:1:73086130]', '[U:1:842830053]', '[U:1:1229126044]', '[U:1:861750819]', '[U:1:170311598]']","['[U:1:404440631]', '[U:1:998239081]', '[U:1:214421545]', '[U:1:919085644]', '[U:1:1052789333]', '[U:1:341322768]']","[2, 4]"
"['[U:1:155227384]', '[U:1:170311598]', '[U:1:1278657853]', '[U:1:1323640]', '[U:1:164800184]', '[U:1:1110603288]']","['[U:1:146679886]', '[U:1:842830053]', '[U:1:214421545]', '[U:1:998239081]', '[U:1:409615621]', '[U:1:404440631]']","[2, 2]"
"['[U:1:161368092]', '[U:1:990182760]', '[U:1:209647313]', '[U:1:155136833]', '[U:1:60959017]', '[U:1:1201269414]', '[U:1:156276611]']","['[U:1:219622414]', '[U:1:1280960540]', '[U:1:1268599460]', '[U:1:171709099]', '[U:1:202531898]', '[U:1:1267322885]']","[5, 0]"
"['[U:1:990182760]', '[U:1:155136833]', '[U:1:1201269414]', '[U:1:489591700]', '[U:1:1128930437]', '[U:1:842830053]']","['[U:1:1268599460]', '[U:1:156276611]', '[U:1:84980776]', '[U:1:919085644]', '[U:1:260352292]', '[U:1:229398251]']","[2, 1]"
"['[U:1:155227384]', '[U:1:1052789333]', '[U:1:126454115]', '[U:1:919085644]', '[U:1:908952969]', '[U:1:1191242857]']","['[U:1:170311598]', '[U:1:121079858]', '[U:1:491032753]', '[U:1:156440371]', '[U:1:1201269414]', '[U:1:155136833]']","[2, 2]"
"['[U:1:1191242857]', '[U:1:121079858]', '[U:1:491032753]', '[U:1:908952969]', '[U:1:164800184]', '[U:1:155136833]']","['[U:1:126454115]', '[U:1:170311598]', '[U:1:1323640]', '[U:1:155227384]', '[U:1:1201269414]', '[U:1:156440371]']","[5, 1]"
"['[U:1:968643410]', '[U:1:1191242857]', '[U:1:155136833]', '[U:1:164800184]', '[U:1:155227384]', '[U:1:978148563]']","['[U:1:219622414]', '[U:1:126454115]', '[U:1:121079858]', '[U:1:170311598]', '[U:1:908952969]', '[U:1:1267322885]']","[3, 1]"
"['[U:1:317981219]', '[U:1:156440371]', '[U:1:1278657853]', '[U:1:246241288]', '[U:1:836155584]', '[U:1:1191242857]']","['[U:1:1128930437]', '[U:1:156276611]', '[U:1:919085644]', '[U:1:393852362]', '[U:1:1050919710]', '[U:1:1268599460]']","[1, 1]"
"['[U:1:395380187]', '[U:1:1052789333]', '[U:1:317981219]', '[U:1:246241288]', '[U:1:393852362]', '[U:1:184444257]', '[U:1:156276611]']","['[U:1:1191242857]', '[U:1:919085644]', '[U:1:1268599460]', '[U:1:921741768]', '[U:1:155227384]', '[U:1:836155584]', '[U:1:126454115]']","[5, 2]"
"['[U:1:1052789333]', '[U:1:317981219]', '[U:1:1268599460]', '[U:1:126454115]', '[U:1:184444257]', '[U:1:170311598]']","['[U:1:395380187]', '[U:1:914486159]', '[U:1:921741768]', '[U:1:233139493]', '[U:1:155227384]', '[U:1:927762509]']","[1, 4]"
"['[U:1:395380187]', '[U:1:1052789333]', '[U:1:914486159]', '[U:1:155227384]', '[U:1:229064914]', '[U:1:368644786]']","['[U:1:170311598]', '[U:1:921741768]', '[U:1:485271219]', '[U:1:87676631]', '[U:1:927762509]', '[U:1:183962091]']","[1, 0]"
"['[U:1:170311598]', '[U:1:87676631]', '[U:1:1229126044]', '[U:1:157537683]', '[U:1:1278657853]', '[U:1:102346090]', '[U:1:921741768]']","['[U:1:485271219]', '[U:1:1052789333]', '[U:1:126454115]', '[U:1:229064914]', '[U:1:216880110]', '[U:1:29086594]']","[2, 2]"
